C,max_iter,accuracy,precision,recall,f1
0.1,20,0.6587982832618026,0.623229461756374,0.5432098765432098,0.5804749340369393
0.1,20,0.6763129689174705,0.6575757575757576,0.5344827586206896,0.5896739130434783
0.1,20,0.669882100750268,0.6346153846153846,0.5689655172413793,0.6
0.1,20,0.6727467811158798,0.6472303206997084,0.5467980295566502,0.5927903871829105
0.1,20,0.6791845493562232,0.6625766871165644,0.5333333333333333,0.590971272229822
0.1,20,0.6673819742489271,0.6470588235294118,0.5160493827160494,0.5741758241758242
0.1,20,0.6580921757770632,0.6268221574344023,0.5295566502463054,0.5740987983978637
0.1,20,0.6891747052518756,0.6695906432748538,0.5640394088669951,0.6122994652406418
0.1,20,0.6673819742489271,0.6463414634146342,0.5221674876847291,0.5776566757493188
0.1,20,0.674892703862661,0.646551724137931,0.5555555555555556,0.5976095617529881
0.1,20,0.6620171673819742,0.640625,0.5061728395061729,0.5655172413793104
0.1,20,0.6709539121114684,0.6477611940298508,0.5344827586206896,0.5856950067476383
0.1,20,0.6645230439442658,0.6363636363636364,0.5344827586206896,0.5809906291834002
0.1,20,0.6974248927038627,0.6703296703296703,0.6009852216748769,0.6337662337662338
0.1,20,0.6534334763948498,0.6265432098765432,0.5012345679012346,0.5569272976680384
0.1,20,0.6652360515021459,0.6355685131195336,0.5382716049382716,0.5828877005347595
0.1,20,0.6602357984994641,0.6239554317548747,0.5517241379310345,0.5856209150326797
0.1,20,0.6484458735262594,0.6282894736842105,0.47044334975369456,0.5380281690140845
0.1,20,0.6791845493562232,0.6666666666666666,0.5270935960591133,0.5887207702888584
0.1,20,0.6877682403433476,0.6656976744186046,0.5654320987654321,0.6114819759679573
0.1,20,0.6759656652360515,0.6467236467236467,0.5604938271604938,0.6005291005291006
0.1,20,0.6816720257234726,0.6607669616519174,0.5517241379310345,0.6013422818791946
0.1,20,0.6806002143622722,0.6677018633540373,0.5295566502463054,0.5906593406593407
0.1,20,0.6555793991416309,0.6283987915407855,0.5123152709359606,0.5644504748982362
0.1,20,0.694206008583691,0.6734104046242775,0.5753086419753086,0.6205059920106525
0.1,20,0.6512875536480687,0.615606936416185,0.5259259259259259,0.5672436750998668
0.1,20,0.6688102893890675,0.6483180428134556,0.5221674876847291,0.5784447476125512
0.1,20,0.677384780278671,0.6530612244897959,0.5517241379310345,0.5981308411214952
0.1,20,0.6437768240343348,0.6101190476190477,0.5049261083743842,0.5525606469002696
0.1,20,0.6813304721030042,0.6569767441860465,0.5580246913580247,0.6034712950600801
0.1,20,0.6845493562231759,0.6728971962616822,0.5333333333333333,0.5950413223140496
0.1,20,0.6559485530546624,0.6291793313069909,0.5098522167487685,0.563265306122449
0.1,20,0.6752411575562701,0.6458923512747875,0.5615763546798029,0.6007905138339922
0.1,20,0.6834763948497854,0.6707692307692308,0.5369458128078818,0.5964432284541724
0.1,20,0.6652360515021459,0.6379821958456974,0.5308641975308642,0.5795148247978437
0.1,20,0.6834763948497854,0.6636904761904762,0.5506172839506173,0.6018893387314439
0.1,20,0.6784565916398714,0.6522988505747126,0.5591133004926109,0.6021220159151194
0.1,20,0.6602357984994641,0.6369230769230769,0.5098522167487685,0.5663474692202463
