CatBoost,KNN,LR,RF,SVM
0.604938272,0.466666667,0.540740741,0.580246914,0.479012346
0.554187192,0.512315271,0.524630542,0.536945813,0.448275862
0.588669951,0.467980296,0.54679803,0.5591133,0.4408867
0.544334975,0.460591133,0.544334975,0.5,0.418719212
0.565432099,0.434567901,0.535802469,0.474074074,0.412345679
0.595061728,0.481481481,0.562962963,0.533333333,0.44691358
0.556650246,0.490147783,0.487684729,0.524630542,0.431034483
0.581280788,0.480295567,0.512315271,0.487684729,0.433497537
0.593596059,0.460591133,0.561576355,0.507389163,0.431034483
0.560493827,0.449382716,0.577777778,0.540740741,0.404938272
0.6,0.466666667,0.558024691,0.545679012,0.454320988
0.57635468,0.490147783,0.522167488,0.534482759,0.45320197
0.591133005,0.458128079,0.549261084,0.485221675,0.42364532
0.586206897,0.460591133,0.568965517,0.514778325,0.460591133
0.585185185,0.459259259,0.528395062,0.545679012,0.42962963
0.565432099,0.466666667,0.535802469,0.511111111,0.409876543
0.551724138,0.433497537,0.534482759,0.497536946,0.428571429
0.561576355,0.480295567,0.514778325,0.507389163,0.426108374
0.539408867,0.42364532,0.549261084,0.477832512,0.426108374
0.62962963,0.518518519,0.511111111,0.558024691,0.474074074
0.577777778,0.49382716,0.575308642,0.525925926,0.409876543
0.586206897,0.475369458,0.539408867,0.524630542,0.421182266
0.54679803,0.450738916,0.519704433,0.477832512,0.428571429
0.57635468,0.465517241,0.561576355,0.502463054,0.443349754
0.577777778,0.481481481,0.52345679,0.545679012,0.459259259
0.57037037,0.464197531,0.543209877,0.483950617,0.407407407
0.566502463,0.421182266,0.541871921,0.490147783,0.418719212
0.586206897,0.509852217,0.5591133,0.527093596,0.458128079
0.583743842,0.480295567,0.57635468,0.527093596,0.438423645
0.575308642,0.513580247,0.498765432,0.516049383,0.474074074
0.567901235,0.444444444,0.516049383,0.513580247,0.422222222
0.57635468,0.450738916,0.490147783,0.502463054,0.418719212
0.568965517,0.458128079,0.512315271,0.504926108,0.431034483
0.598522167,0.492610837,0.571428571,0.534482759,0.418719212
0.548148148,0.42962963,0.57037037,0.459259259,0.422222222
0.609876543,0.496296296,0.538271605,0.562962963,0.441975309
0.561576355,0.495073892,0.554187192,0.45320197,0.42364532
0.583743842,0.475369458,0.549261084,0.512315271,0.45320197
0.554187192,0.401477833,0.514778325,0.492610837,0.42364532
0.55308642,0.498765432,0.530864198,0.535802469,0.483950617
0.562962963,0.481481481,0.545679012,0.528395062,0.437037037
0.583743842,0.507389163,0.551724138,0.54679803,0.463054187
0.509852217,0.45320197,0.544334975,0.507389163,0.448275862
0.618226601,0.485221675,0.541871921,0.544334975,0.467980296
0.57037037,0.434567901,0.486419753,0.491358025,0.387654321
0.565432099,0.471604938,0.587654321,0.555555556,0.459259259
0.566502463,0.502463054,0.593596059,0.490147783,0.435960591
0.573891626,0.4408867,0.517241379,0.549261084,0.421182266
0.561576355,0.433497537,0.527093596,0.467980296,0.403940887
0.609876543,0.483950617,0.52345679,0.548148148,0.424691358
0.575308642,0.47654321,0.508641975,0.486419753,0.441975309
0.581280788,0.4408867,0.539408867,0.527093596,0.450738916
0.581280788,0.482758621,0.514778325,0.522167488,0.477832512
0.544334975,0.463054187,0.514778325,0.490147783,0.401477833
0.575308642,0.486419753,0.567901235,0.543209877,0.459259259
0.612345679,0.469135802,0.543209877,0.540740741,0.427160494
0.5591133,0.455665025,0.556650246,0.492610837,0.450738916
0.564039409,0.477832512,0.480295567,0.504926108,0.401477833
0.566502463,0.45320197,0.524630542,0.495073892,0.408866995
0.565432099,0.481481481,0.565432099,0.543209877,0.437037037
0.597530864,0.50617284,0.548148148,0.533333333,0.471604938
0.541871921,0.433497537,0.566502463,0.485221675,0.391625616
0.554187192,0.485221675,0.541871921,0.54679803,0.472906404
0.600985222,0.475369458,0.512315271,0.549261084,0.475369458
0.543209877,0.464197531,0.520987654,0.47654321,0.419753086
0.609876543,0.518518519,0.55308642,0.55308642,0.451851852
0.586206897,0.480295567,0.52955665,0.507389163,0.460591133
0.600985222,0.495073892,0.52955665,0.52955665,0.416256158
0.5591133,0.463054187,0.573891626,0.527093596,0.411330049
0.562962963,0.422222222,0.565432099,0.496296296,0.390123457
0.575308642,0.496296296,0.501234568,0.535802469,0.451851852
0.618226601,0.465517241,0.482758621,0.532019704,0.458128079
0.568965517,0.507389163,0.532019704,0.539408867,0.450738916
0.519704433,0.455665025,0.524630542,0.512315271,0.406403941
0.550617284,0.454320988,0.582716049,0.50617284,0.417283951
0.57037037,0.44691358,0.548148148,0.520987654,0.44691358
0.554187192,0.45320197,0.504926108,0.522167488,0.401477833
0.581280788,0.487684729,0.527093596,0.536945813,0.428571429
0.610837438,0.458128079,0.600985222,0.534482759,0.460591133
0.545679012,0.461728395,0.528395062,0.513580247,0.441975309
0.550617284,0.479012346,0.543209877,0.511111111,0.451851852
0.556650246,0.445812808,0.566502463,0.54679803,0.438423645
0.586206897,0.477832512,0.541871921,0.519704433,0.42364532
0.566502463,0.482758621,0.517241379,0.492610837,0.428571429
0.575308642,0.461728395,0.555555556,0.486419753,0.407407407
0.572839506,0.437037037,0.513580247,0.533333333,0.439506173
0.554187192,0.445812808,0.519704433,0.509852217,0.411330049
0.591133005,0.485221675,0.539408867,0.532019704,0.418719212
0.578817734,0.460591133,0.549261084,0.485221675,0.433497537
0.545679012,0.451851852,0.540740741,0.508641975,0.441975309
0.627160494,0.481481481,0.535802469,0.545679012,0.466666667
0.618226601,0.487684729,0.527093596,0.54679803,0.45320197
0.573891626,0.475369458,0.554187192,0.52955665,0.42364532
0.544334975,0.433497537,0.532019704,0.512315271,0.416256158
0.55308642,0.464197531,0.55308642,0.503703704,0.437037037
0.580246914,0.479012346,0.538271605,0.518518519,0.434567901
0.544334975,0.408866995,0.571428571,0.475369458,0.416256158
0.571428571,0.487684729,0.507389163,0.534482759,0.443349754
0.593596059,0.472906404,0.539408867,0.509852217,0.431034483
0.592592593,0.459259259,0.558024691,0.540740741,0.407407407
0.587654321,0.488888889,0.518518519,0.520987654,0.449382716
0.608374384,0.443349754,0.551724138,0.507389163,0.448275862
0.581280788,0.455665025,0.509852217,0.54679803,0.4408867
0.564039409,0.475369458,0.549261084,0.551724138,0.418719212
