learning_rate,depth,rsm,subsample,min_data_in_leaf,accuracy,precision,recall,f1
0.08,5,0.9,0.6,140,0.6881028938906752,0.6657060518731989,0.5689655172413793,0.6135458167330677
0.08,5,0.9,0.6,140,0.7060085836909872,0.7024539877300614,0.5640394088669951,0.6256830601092896
0.08,5,0.9,0.6,140,0.6620171673819742,0.6264044943820225,0.5506172839506173,0.5860709592641261
0.08,5,0.9,0.6,140,0.677038626609442,0.6494252873563219,0.5580246913580247,0.600265604249668
0.08,5,0.9,0.6,140,0.6795284030010718,0.654178674351585,0.5591133004926109,0.6029216467463481
0.08,5,0.9,0.6,140,0.6956055734190782,0.6804733727810651,0.5665024630541872,0.6182795698924731
0.08,5,0.9,0.6,140,0.6866952789699571,0.6706586826347305,0.5517241379310345,0.6054054054054053
0.08,5,0.9,0.6,140,0.6781115879828327,0.6487252124645893,0.5654320987654321,0.6042216358839049
0.08,5,0.9,0.6,140,0.6899141630901288,0.657608695652174,0.5975308641975309,0.6261319534282018
0.08,5,0.9,0.6,140,0.6634512325830654,0.6329479768786127,0.5394088669950738,0.5824468085106382
0.08,5,0.9,0.6,140,0.6902465166130761,0.6685878962536023,0.5714285714285714,0.6162018592297477
0.08,5,0.9,0.6,140,0.6963519313304721,0.6722689075630253,0.5911330049261084,0.6290956749672347
0.08,5,0.9,0.6,140,0.6909871244635193,0.6735905044510386,0.5604938271604938,0.6118598382749326
0.08,5,0.9,0.6,140,0.6813304721030042,0.6569767441860465,0.5580246913580247,0.6034712950600801
0.08,5,0.9,0.6,140,0.692390139335477,0.6695156695156695,0.5788177339901478,0.6208718626155879
0.08,5,0.9,0.6,140,0.6859592711682744,0.672782874617737,0.541871921182266,0.6002728512960437
0.08,5,0.9,0.6,140,0.6566523605150214,0.6174863387978142,0.5566502463054187,0.5854922279792746
0.08,5,0.9,0.6,140,0.6984978540772532,0.6812865497076024,0.5753086419753086,0.6238286479250335
0.08,5,0.9,0.6,140,0.6920600858369099,0.6594594594594595,0.6024691358024692,0.6296774193548388
0.08,5,0.9,0.6,140,0.6956055734190782,0.672316384180791,0.5862068965517241,0.6263157894736843
0.08,5,0.9,0.6,140,0.6934619506966774,0.6775147928994083,0.5640394088669951,0.6155913978494624
0.08,5,0.9,0.6,140,0.6963519313304721,0.6684931506849315,0.6009852216748769,0.6329442282749677
0.08,5,0.9,0.6,140,0.6738197424892703,0.6391184573002755,0.5728395061728395,0.6041666666666667
0.08,5,0.9,0.6,140,0.7006437768240343,0.675,0.6,0.6352941176470589
