n_estimators,max_depth,accuracy,precision,recall,f1
50,5,0.6319742489270386,0.6565656565656566,0.32098765432098764,0.4311774461028192
50,5,0.657725321888412,0.7263157894736842,0.34074074074074073,0.46386554621848736
50,5,0.6495176848874598,0.6724890829694323,0.3793103448275862,0.48503937007874004
50,5,0.6463022508038585,0.7209302325581395,0.3054187192118227,0.42906574394463665
50,5,0.6587982832618026,0.7244897959183674,0.3497536945812808,0.47176079734219273
50,5,0.6716738197424893,0.803680981595092,0.3234567901234568,0.46126760563380276
50,5,0.6609442060085837,0.6926406926406926,0.3950617283950617,0.5031446540880503
50,5,0.6580921757770632,0.7164179104477612,0.35467980295566504,0.47446457990115326
50,5,0.669882100750268,0.71875,0.39655172413793105,0.5111111111111112
50,5,0.6362660944206009,0.645021645021645,0.3669950738916256,0.4678178963893249
50,5,0.6523605150214592,0.7165775401069518,0.3308641975308642,0.45270270270270274
50,5,0.6673819742489271,0.7386934673366834,0.362962962962963,0.4867549668874173
50,5,0.6538049303322615,0.7024390243902439,0.35467980295566504,0.4713584288052373
50,5,0.6366559485530546,0.7080745341614907,0.28078817733990147,0.4021164021164021
50,5,0.6673819742489271,0.7352941176470589,0.3694581280788177,0.49180327868852464
