n_neighbors,accuracy,precision,recall,f1
1,0.6055734190782422,0.547979797979798,0.5344827586206896,0.5411471321695761
1,0.6302250803858521,0.5776081424936387,0.5591133004926109,0.5682102628285357
1,0.6469957081545065,0.6005221932114883,0.5665024630541872,0.5830164765525983
1,0.6072961373390557,0.5509138381201044,0.5209876543209877,0.5355329949238579
1,0.6148068669527897,0.5598958333333334,0.5308641975308642,0.5449936628643853
1,0.6302250803858521,0.5796344647519582,0.5467980295566502,0.5627376425855513
1,0.662379421221865,0.6140350877192983,0.603448275862069,0.608695652173913
1,0.6180257510729614,0.5675675675675675,0.5172413793103449,0.5412371134020619
1,0.6008583690987125,0.5433070866141733,0.5111111111111111,0.5267175572519085
1,0.6384120171673819,0.5918918918918918,0.5407407407407407,0.5651612903225807
1,0.6345123258306538,0.5839793281653747,0.5566502463054187,0.5699873896595209
1,0.6345123258306538,0.5857519788918206,0.5467980295566502,0.5656050955414013
1,0.6105150214592274,0.5570291777188329,0.5172413793103449,0.5363984674329502
1,0.6405579399141631,0.5925925925925926,0.5530864197530864,0.5721583652618134
1,0.621244635193133,0.5684210526315789,0.5333333333333333,0.5503184713375796
1,0.6162915326902465,0.5648648648648649,0.5147783251231527,0.538659793814433
1,0.6463022508038585,0.6038251366120219,0.5443349753694581,0.572538860103627
1,0.6416309012875536,0.5923076923076923,0.5689655172413793,0.5804020100502513
1,0.6244635193133047,0.5710594315245479,0.5456790123456791,0.5580808080808081
1,0.6072961373390557,0.5543175487465181,0.49135802469135803,0.5209424083769634
1,0.6270096463022508,0.5747422680412371,0.5492610837438424,0.5617128463476071
1,0.6077170418006431,0.5540540540540541,0.5049261083743842,0.5283505154639174
1,0.6062231759656652,0.5511811023622047,0.5172413793103449,0.5336721728081322
1,0.6427038626609443,0.5927835051546392,0.5679012345679012,0.5800756620428751
1,0.6266094420600858,0.576,0.5333333333333333,0.5538461538461539
1,0.6291532690246516,0.5793650793650794,0.5394088669950738,0.558673469387755
1,0.6570203644158628,0.6102564102564103,0.5862068965517241,0.5979899497487436
1,0.6223175965665236,0.5718085106382979,0.5295566502463054,0.5498721227621483
1,0.5976394849785408,0.5375,0.5308641975308642,0.5341614906832298
1,0.621244635193133,0.5691489361702128,0.528395061728395,0.5480153649167734
1,0.6259378349410504,0.5744125326370757,0.541871921182266,0.5576679340937896
1,0.639871382636656,0.6041666666666666,0.5,0.5471698113207547
1,0.5987124463519313,0.5421052631578948,0.5073891625615764,0.5241730279898219
1,0.621244635193133,0.565989847715736,0.5506172839506173,0.55819774718398
1,0.630901287553648,0.5804749340369393,0.5432098765432098,0.5612244897959183
1,0.6162915326902465,0.569364161849711,0.4852216748768473,0.5239361702127661
1,0.6141479099678456,0.5618279569892473,0.5147783251231527,0.5372750642673522
1,0.5976394849785408,0.5388471177944862,0.5295566502463054,0.5341614906832298
1,0.6233905579399142,0.5710526315789474,0.5358024691358024,0.5528662420382165
1,0.6319742489270386,0.5778894472361809,0.5679012345679012,0.572851805728518
1,0.6409431939978564,0.5912596401028277,0.5665024630541872,0.5786163522012578
1,0.6034297963558414,0.5478723404255319,0.5073891625615764,0.5268542199488492
1,0.6319742489270386,0.583554376657825,0.541871921182266,0.561941251596424
1,0.6341201716738197,0.5864864864864865,0.5358024691358024,0.5599999999999999
1,0.6266094420600858,0.5768194070080862,0.528395061728395,0.5515463917525771
1,0.6066452304394426,0.552,0.5098522167487685,0.530089628681178
1,0.6216505894962486,0.5691906005221932,0.5369458128078818,0.552598225602028
